lsoa_code,borough,major_category,minor_category,value,year,month
E01004089,Sutton,Other Notifiable Offences,Going Equipped,0,2009,2
E01001798,Hackney,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,7
E01000845,Camden,Theft and Handling,Other Theft,1,2016,5
E01001959,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2016,5
E01032638,Southwark,Robbery,Business Property,0,2012,8
E01002289,Havering,Violence Against the Person,Other violence,0,2015,7
E01033086,Haringey,Violence Against the Person,Assault with Injury,0,2012,10
E01032584,Southwark,Violence Against the Person,Assault with Injury,0,2009,4
E01000365,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2009,2
E01004517,Wandsworth,Drugs,Possession Of Drugs,0,2010,8
E01004003,Southwark,Burglary,Burglary in a Dwelling,2,2011,12
E01002701,Islington,Violence Against the Person,Common Assault,3,2013,4
E01000302,Barnet,Drugs,Possession Of Drugs,0,2012,8
E01002776,Islington,Theft and Handling,Other Theft,1,2012,12
E01002358,Havering,Violence Against the Person,Wounding/GBH,0,2008,4
E01002855,Kensington and Chelsea,Violence Against the Person,Other violence,0,2016,1
E01001949,Hammersmith and Fulham,Theft and Handling,Other Theft,0,2008,2
E01003628,Newham,Theft and Handling,Handling Stolen Goods,0,2011,3
E01000772,Bromley,Theft and Handling,Other Theft,0,2012,1
E01004713,Westminster,Violence Against the Person,Common Assault,0,2008,2
E01003728,Redbridge,Drugs,Drug Trafficking,0,2010,1
E01002733,Islington,Theft and Handling,Other Theft Person,0,2009,7
E01002039,Haringey,Fraud or Forgery,Counted per Victim,0,2008,9
E01002910,Kensington and Chelsea,Criminal Damage,Other Criminal Damage,0,2014,3
E01000070,Barking and Dagenham,Violence Against the Person,Harassment,0,2012,2
E01003157,Lambeth,Theft and Handling,Other Theft,2,2014,7
E01002873,Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,8
E01004370,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,0,2010,4
E01002503,Hillingdon,Fraud or Forgery,Counted per Victim,0,2014,3
E01001655,Greenwich,Violence Against the Person,Harassment,1,2012,1
